   period_start       period_end      time_high_tide   elevation_above_datum  tide_type  duration 
 2018-06-27 20:06  2018-06-28 04:18  2018-06-27 23:54          1.024              HH       8.2    
 2018-06-28 08:54  2018-06-28 15:36  2018-06-28 12:12          0.691              H        6.7    
 2018-06-28 20:36  2018-06-29 04:54  2018-06-29 00:30          0.977              HH       8.3    
 2018-06-29 09:42  2018-06-29 16:12  2018-06-29 12:42          0.652              H        6.5    
 2018-06-29 21:30  2018-06-30 05:12  2018-06-30 01:18          0.895              HH       7.7    
 2018-06-30 10:18  2018-06-30 16:42  2018-06-30 13:24          0.581              H        6.4    
 2018-06-30 22:00  2018-07-01 05:42  2018-07-01 01:54          0.851              HH       7.7    
 2018-07-01 10:48  2018-07-01 17:36  2018-07-01 14:12          0.544              H        6.8    
 2018-07-01 22:36  2018-07-02 06:12  2018-07-02 02:36          0.847              HH       7.6    
 2018-07-02 11:24  2018-07-02 18:18  2018-07-02 15:00          0.582              H        6.9    
 2018-07-02 23:12  2018-07-03 06:54  2018-07-03 03:12          0.764              HH       7.7    
 2018-07-03 12:00  2018-07-03 19:36  2018-07-03 15:42          0.587              H        7.6    
 2018-07-03 23:36  2018-07-04 07:54  2018-07-04 03:48          0.842              HH       8.3    
 2018-07-04 12:42  2018-07-04 20:24  2018-07-04 16:18           0.66              H        7.7    
 2018-07-05 00:36  2018-07-05 08:24  2018-07-05 04:42          0.737              HH       7.8    
 2018-07-05 13:36  2018-07-05 20:54  2018-07-05 17:18          0.636              H        7.3    
 2018-07-06 01:24  2018-07-06 08:54  2018-07-06 05:24          0.675              HH       7.5    
 2018-07-06 14:30  2018-07-06 22:12  2018-07-06 18:06          0.639              H        7.7    
 2018-07-07 02:30  2018-07-07 09:36  2018-07-07 06:12          0.618              H        7.1    
 2018-07-07 15:06  2018-07-07 23:30  2018-07-07 19:00          0.777              HH       8.4    
 2018-07-08 03:00  2018-07-08 11:18  2018-07-08 07:18          0.843              H        8.3    
 2018-07-08 15:42  2018-07-09 00:54  2018-07-08 19:42          1.078              HH       9.2    
 2018-07-09 03:42  2018-07-09 12:24  2018-07-09 08:18          0.887              H        8.7    
 2018-07-09 16:18  2018-07-10 02:06  2018-07-09 20:48          1.197              HH       9.8    
 2018-07-10 04:54  2018-07-10 13:00  2018-07-10 09:06          0.934              H        8.1    
 2018-07-10 17:24  2018-07-11 02:24  2018-07-10 21:48          1.288              HH       9.0    
 2018-07-11 06:30  2018-07-11 13:30  2018-07-11 10:06          0.856              H        7.0    
 2018-07-11 18:48  2018-07-12 02:48  2018-07-11 22:30          1.232              HH       8.0    
 2018-07-12 07:54  2018-07-12 14:12  2018-07-12 11:06          0.762              H        6.3    
 2018-07-12 19:54  2018-07-13 03:36  2018-07-12 23:24          1.163              HH       7.7    
 2018-07-13 08:42  2018-07-13 15:12  2018-07-13 11:48          0.951              H        6.5    
 2018-07-13 20:36  2018-07-14 04:48  2018-07-14 00:24          1.326              HH       8.2    
 2018-07-14 09:30  2018-07-14 16:18  2018-07-14 12:54          0.984              H        6.8    
